Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,threshold
Mgl2,205.17464488755874,-0.5001092343860845,0.5993007463136004,0.2980175713403788,0.41942328604840806,FALSE
Pip5kl1,2.915576579398565,-0.5001112748285292,1.1741455665289249,0.02432858780657996,0.059959579676500216,FALSE
Rbm3-ps,29.729688164068396,-0.5002228340661655,0.6387314680481504,0.3145192707310084,0.4371643775749818,FALSE
Etnk2,41.14428344654533,-0.5006154030143681,0.5449541052938492,0.27243334056846685,0.3912024427011494,FALSE
Mb,313.8614374479058,-0.5008336371474698,1.0688718875339158,0.20516119115098008,0.31662686113348537,FALSE
Gm8738,2.4932852092109488,-0.5008751201880053,0.9417125334425195,0.30133977698696673,NA,NA
Gm24644,2.738990468593042,-0.50092943289473,1.157036671322808,0.05242777292366908,0.11016541703807348,FALSE
Erlin1,620.754414817422,-0.5009744765331889,0.4133564285381906,0.1818581822440591,0.2883117523381425,FALSE
Gm12251,9.776330395930401,-0.5009776223588508,0.6437854168155239,0.3101036262959616,0.43258548346293363,FALSE
Gm49085,2.347341776461643,-0.5010490239730715,1.0787379050850563,0.1843496940097154,NA,NA
Dhrs1,1163.2507692937904,-0.5010884263072238,0.29142611639300353,0.07135730655063172,0.1402517616534255,FALSE
Gm7424,3.6233328696488942,-0.5011942012624224,0.8620617450972418,0.32565310652651797,0.44905237296388784,FALSE
Gm16206,10.247625323064794,-0.5013895009380295,0.8776305337294104,0.3250460930675379,0.44858641254585496,FALSE
Akirin1,1088.0386406821058,-0.501395910796072,0.27041705309574804,0.05310045318937796,0.11123092977657785,FALSE
Iffo1,121.05606317682829,-0.5015362069273867,0.5016673317221143,0.24627452897204818,0.36266189787991954,FALSE
Card14,40.097626261403356,-0.5016575626048712,0.7257507021324552,0.3312673301160014,0.4549417235462337,FALSE
Myef2,350.0186044469183,-0.5016686395969984,0.3569423781868289,0.13012718401875675,0.22292175769652134,FALSE
Eif5a2,147.95392725310714,-0.5017161113392368,0.6453052895517225,0.31522063596732003,0.43788834837368595,FALSE
Gm45113,3.1636865550779945,-0.5021106421200309,1.029475110987891,0.23733082039881626,0.3530337099552433,FALSE
Trim47,283.3624405859529,-0.5021336948405376,0.5310985155482437,0.2634916122934743,0.38124377562336004,FALSE
Gm11449,2.0886113984160555,-0.5022154780817365,1.016058220289716,0.2457204367246145,NA,NA
Tmem14a,85.81234060135237,-0.5022692760462286,0.29338519868292123,0.07198439511984513,0.14112508863497614,FALSE
Gm26736,2.7993309227863388,-0.5025384865281577,1.073764225210047,0.18612347056864983,0.29392618269507453,FALSE
Dctn6,834.9564898068031,-0.5029847693234584,0.21142681379666273,0.014453347502751531,0.03943214719341694,TRUE
Gm17541,2.7471151988759326,-0.5030402242552371,0.8999764852282622,0.313386515900994,0.4360936127347141,FALSE
4930509E16Rik,2.510774123265956,-0.5031170797599993,1.0576512522918533,0.20970267536808404,0.3220356493501601,FALSE
Gm43848,15.018269693318882,-0.5032041610719938,0.8408697298899898,0.3349289620251639,0.4588812122344784,FALSE
Faap24,178.2041762820093,-0.5033124747715315,0.2940756106331847,0.07221659242069484,0.14143821278810392,FALSE
2410004I01Rik,28.42560916942841,-0.5037688906578058,0.698934029496641,0.3264159645784767,0.44975092400167677,FALSE
Grpel2,1077.506003469409,-0.5039079463837587,0.4275013900626239,0.18942613055609658,0.29779083472194173,FALSE
Gm45737,2.2589523503163162,-0.5039131090312045,1.0305875621149867,0.23790755147671155,NA,NA
Sh3bgrl3,5863.755206721041,-0.5040775949402981,0.5130284190561792,0.24887428973131084,0.36560405266701873,FALSE
Zdhhc18,1586.4678609940202,-0.5040799910330622,0.28823625238073763,0.06433532519669126,0.12932043449834701,FALSE
E130006D01Rik,2.502237991533249,-0.5042473140136156,1.1001481102663697,0.15504404923886594,0.25591111784869475,FALSE
Cyp27b1,3.8372912402031742,-0.5043095163315122,1.0935863556531007,0.16396976593982432,0.26719307263174713,FALSE
Gm6467,37.760472717132075,-0.50433022045959075,0.5198343388950158,0.25215430129223565,0.36941935087247546,FALSE
Gm5050,1.5991522529554114,-0.504558678039147,1.1033148274032871,0.1416220869074494,NA,NA
Slc25a33,394.25255387103647,-0.5048880168138291,0.4296590714867326,0.19061216071677495,0.2993628183076261,FALSE
Gm24616,2.561598583720823,-0.5053062950395016,1.1447225567146564,0.08126068659909405,0.1545432312981406,FALSE
Cenpt,194.59390095952375,-0.5054019934533917,0.3178982374575218,0.09211973677173826,0.17009709493097971,FALSE
Alad,2715.582304634815,-0.5057219293708184,0.5342543392268337,0.25233530070844457,0.36962842250371974,FALSE
Tnfrsf22,157.8211942910888,-0.5058112171955143,0.3179353494859259,0.09162953676773253,0.1694031993201567,FALSE
Gm7380,2.8490441148263246,-0.5059225761997935,0.8898814204829746,0.31371063970098284,0.43641881526464466,FALSE
Gm14407,1.3807475002197676,-0.5063232895743558,1.0583263900079058,0.20359544968386228,NA,NA
Rnf139,554.7363931841546,-0.5064176484384191,0.4081979335294069,0.17323810769002917,0.27820993835421454,FALSE
Gm5767,1.8951929717914957,-0.5064176834605216,1.138913024871115,0.09178346066109512,NA,NA
Mrps30,604.2725632388805,-0.5066394902643108,0.20002562972327773,0.009507007556499976,0.02789251989030882,TRUE
Mterf4,469.6615634653723,-0.506899020375826,0.2545095173854267,0.038455893758336475,0.08662672450463076,FALSE
Icam5,19.14647518447102,-0.506926968076014,0.783412980122701,0.3326444590859624,0.45648253424840346,FALSE
B4galt2,199.59101288908374,-0.5071250369662247,0.43155704516318344,0.18986659059356326,0.2983617852184565,FALSE
Gm24951,3.7308056022345477,-0.5073469292372191,1.1456855226007305,0.0832081932449125,0.15748374221500352,FALSE
Zswim7,189.89315089267603,-0.5073587406889245,0.39627453920193334,0.16023411244608324,0.26243484693065555,FALSE
Gm6225,6.035068134813966,-0.5074007404805235,0.8558729254152667,0.3254044554494986,0.44883597286813787,FALSE
Mogat2,5.114380714412541,-0.5074093939065004,1.1067174767882675,0.14946752809867583,0.2484048407321743,FALSE
Csrp1,10360.163678381741,-0.5075542932818861,0.4238237803032902,0.17870109777384072,0.28438089955683743,FALSE
Exosc9,593.5101200420233,-0.5077657561123557,0.26306343144145133,0.04441838140959499,0.09682665459713541,FALSE
Slc6a14,671.747913724532,-0.5080730656553194,0.6161156201714916,0.29903150190916433,0.4205130495597623,FALSE
Ccdc180,89.989373143006,-0.5081261380764969,0.7472836157246169,0.3297615807991406,0.4532930302853467,FALSE
Gm7816,4.247092908802768,-0.5081724503198478,0.9105119317479665,0.3102748403881397,0.4327617797625198,FALSE
Ift52,930.0692166300153,-0.5082470782325291,0.15978733381009652,0.0012453261195600552,0.005157910478031939,TRUE
Gm49733,2.9897908483642035,-0.5082820526650287,1.165828051950933,0.046302028878122826,0.1000963793384279,FALSE
Ncan,3.166253448575378,-0.5087114544038511,1.1665988161664431,0.06444072451375832,0.12949184831249136,FALSE
Gzf1,701.1661501295938,-0.5088212676022514,0.42096983538285004,0.18422536521088054,0.291490097155647,FALSE
Gm15483,1.7037935216036766,-0.5091248303531576,0.9811712929825402,0.2642698039079768,NA,NA
Cst7,29.266601546461775,-0.5091833639222306,0.7079900982829427,0.3222438851706782,0.4457641722518567,FALSE
Rac3,920.822290197704,-0.5092643442634783,0.43795825580745884,0.18979087320798405,0.2982670797199717,FALSE
Magohb,124.3681132383186,-0.5095561367138054,0.326360891265033,0.09629383072583486,0.17590389876629844,FALSE
Oard1,839.3847335954644,-0.5095720135246685,0.2406933269874988,0.02840998104532631,0.06798744069418922,FALSE
Ptgr1,3425.0976801302936,-0.5097282558175747,0.6278722822159613,0.30419227809858507,0.4263417982207917,FALSE
Rab13,567.9851959250951,-0.5098233179307432,0.2722479840514585,0.051920531268012035,0.10935080669988957,FALSE
Phc2,4131.411142661244,-0.510052503026263,0.3113513003703927,0.08149890907520824,0.15486872536130705,FALSE
Echs1,2804.551808135019,-0.5101793495590341,0.3324882618269912,0.10276868377062809,0.18505264809178018,FALSE
Sdf4,7147.074043049094,-0.5101929517142072,0.2318749848901478,0.023015862795762582,0.05741326156766981,FALSE
Kif3c,262.4243549569927,-0.5102086898154223,0.450209948928273,0.20247447593132378,0.3137054380300326,FALSE
Gm47260,8.268044531399937,-0.5104832281980882,0.9250565506264693,0.3089847409583253,0.43142994533491025,FALSE
Gm14017,4.866539172230469,-0.5105126279385348,0.7811271801797377,0.32484072430506883,0.44841259797707217,FALSE
Rnf121,911.477665438687,-0.5108859424345481,0.2609255966298215,0.041313163265637054,0.09161982962011755,FALSE
Ubtd1,728.5308476591181,-0.5109480849871619,0.40535979897563135,0.1657932843434357,0.26961834337882457,FALSE
Dennd1b,397.0638325616022,-0.5110676160781171,0.2901577846543093,0.06405452526919897,0.12886333996684932,FALSE
