Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,threshold
Rsrc2,1047.1427442266956,0.20105286452988655,0.39630024847781725,0.507324598715563,0.611927081550133,0.7170815023018782,FALSE
Arhgef37,48.70655739184378,0.20094304781543712,0.9298941345731159,0.2160923919664076,0.8289157299529868,0.8836828208718474,FALSE
Ccdc9b,880.1914649375968,0.20090176577837962,0.4701082110966615,0.42735217347027177,0.6691228368912066,0.7633867194752563,FALSE
Usp30,656.4889646725875,0.20066969303923923,0.24406028632281748,0.8222136262423879,0.410955324890869,0.5392927831321265,FALSE
Tmem170b,352.53170348083825,0.20019250598871385,0.4623623199469278,0.4329775532134473,0.6650310771844115,0.7600794952289374,FALSE
Il2rg,294.6786438431644,0.200147921739886,0.5427242444571295,0.368783823063014,0.7122888634353581,0.7969823616708318,FALSE
Crlf3,388.17533346877116,0.2000962254593183,0.3492115113771791,0.5729943571167011,0.5666485147059208,0.6806422804148373,FALSE
Smc5,428.31852806788805,0.20008807233779513,0.32857335383854697,0.6089601302122435,0.5425508662391734,0.6603280984630077,FALSE
Tmem87a,1511.7930732156567,0.19976807967932175,0.3053865419836502,0.6541482751064288,0.5130162821866997,0.6340318862314912,FALSE
Guca1b,2.702232405977518,0.19969606640366744,2.128412126551486,0.09382396572191151,0.925248993764684,0.9522466717819945,FALSE
Fkbp10,334.33554773964323,0.19942085561805675,0.46598060752239767,0.4279595596871946,0.6686805632779325,0.7630143550471243,FALSE
Klhl7,397.75552995042545,0.199379653244867,0.4011670884438464,0.49699902855509365,0.6191897363748493,0.7227844496705882,FALSE
Gm12312,19.78419562574445,0.19929300413763754,1.5006595928497743,0.13280360521947368,0.8943487030651683,0.9297460833128004,FALSE
Gpc1,651.6466228414182,0.19923730411454244,0.45292513354302827,0.43989014819292366,0.66001667158635,0.7560280940549025,FALSE
Tnfrsf14,53.64630406856839,0.1986937098916327,0.5643781654171345,0.35205775500683534,0.7247949493146573,0.8062711105464694,FALSE
Taf5l,693.048150079522,0.19857155465859372,0.274047114451364,0.724589109635872,0.4687041419369017,0.5936798904410466,FALSE
Pigw,83.02416921902457,0.19818287334617615,0.4711552875142661,0.42063175050364976,0.674024005194384,0.76719413122870594,FALSE
Skida1,42.06120483642768,0.1980386786693673,0.6162561875925244,0.32135771235503235,0.7479393255639846,0.8240348928235064,FALSE
Ethe1,506.9255794611766,0.19763073800727962,0.3963724907012672,0.4985985219550147,0.6180622466141776,0.722010492712188,FALSE
Zfp638,841.814364615927,0.1973969081589481,0.3416362457419203,0.5777984936295845,0.5634001724170955,0.6779749503413506,FALSE
2310014F06Rik,6.871522438340031,0.19729858619775298,1.1068707320892532,0.17824898651475382,0.8585274399926716,0.9042624643915773,FALSE
Fbxo36,256.12916872205625,0.19721426776735404,0.5577614277859649,0.3535817608438727,0.7236523452105885,0.8054536866110417,FALSE
Sidt2,2540.295082525031,0.1968333128258157,0.3200476365017705,0.6150125493106925,0.5385464328455504,0.6569115754687402,FALSE
Abraxas2,612.8168648492538,0.19680847892829006,0.2840604788780703,0.6928400589395889,0.4884099296944715,0.6115806346725752,FALSE
Dennd6a,711.2149210804521,0.19676511529060964,0.29640954160137883,0.6638285469069877,0.5068000525514056,0.6283938881353022,FALSE
Tmem117,86.94673900253402,0.19675178436645452,0.8144804776794946,0.24156721954467533,0.8091155248960658,0.8687095639368968,FALSE
Cln6,1093.7696203260878,0.19674068663774705,0.30477287769143635,0.6455321356939603,0.5185824000277112,0.6394767519153788,FALSE
C1qb,3178.0639715650927,0.19658283723151868,0.6548590779832479,0.3001910545959439,0.7640314280093492,0.8361794809242975,FALSE
Cbarp,518.7814489142969,0.19633373004454213,0.4858033062115071,0.4041424328204616,0.6861079832362418,0.7766936014823556,FALSE
Racgap1,192.65098741754755,0.19626697687226946,0.5339887088137543,0.36754892684579943,0.7132096033146824,0.797651100428719,FALSE
Ifitm10,115.90618599999195,0.19604801384896423,0.4298523525930823,0.4560822167572319,0.6483308575199107,0.7464612727370983,FALSE
Cog2,587.9290108161055,0.19599056266790377,0.3299035488735804,0.5940844326685545,0.5524556423847133,0.6684290259346314,FALSE
Mindy2,996.1040408267007,0.19588305828133767,0.399061949102625,0.4908587719821999,0.6235263384471343,0.7260872678344416,FALSE
Timp2,11308.507876453788,0.19562176817830526,0.24512236459572212,0.7980576089046069,0.42483705987428255,0.5525735286867397,FALSE
Rasa3,1340.4738629666865,0.19557118154332293,0.46639463224534905,0.41932554112338455,0.6749782327549728,0.7679379098770936,FALSE
Lpcat3,1555.5007305362872,0.19549701683197654,0.37852743111352005,0.516467237940669,0.6055281152556902,0.7123056553255718,FALSE
Bbc3,373.96881821172695,0.19530659653426122,0.494491796400673,0.3949642804104473,0.6928692494160278,0.782523495595253,FALSE
Gm48768,40.02141947328702,0.19526196233468784,0.5704140770109484,0.34231617031243083,0.7321129677107673,0.8121264735974191,FALSE
Thnsl2,293.32558324609323,0.19510753019117258,0.5276004760242741,0.36980165685482813,0.7115302806315853,0.7964557923921307,FALSE
Ikzf1,259.2180527423591,0.19503849335229587,0.7194571354659905,0.2710911932591647,0.7863208948173106,0.8528577868701155,FALSE
Nat8,3.559465534871678,0.19492535759395857,1.7705623486648552,0.11009234311400996,0.9123361405555758,0.9426407620575264,FALSE
Cip2a,57.89946611902395,0.19480125540092633,0.6871614842929017,0.28348686568395115,0.776803648560738,0.8456831042367713,FALSE
Plscr4,137.3226794609981,0.19454258446753533,0.6339769291269378,0.30686066878718093,0.7589494273932562,0.8323167327820054,FALSE
Eaf2,74.79880261882144,0.1944866268473354,0.8185620254608816,0.23759546717041022,0.8121948665307452,0.8709490820550839,FALSE
Vps50,376.70737889941955,0.19443997852330205,0.2876421333987814,0.6759787803886653,0.49905411759837437,0.6207394348726808,FALSE
Ltn1,733.9654412246949,0.19390459488951817,0.25934436384106985,0.7476722918426167,0.4546578480359935,0.5806920022248266,FALSE
Mettl3,333.3745931932338,0.19374719848974806,0.2523761833004946,0.7676920855049968,0.44267013930581833,0.5688017558917854,FALSE
Card14,40.097626261403356,0.19371044204159962,0.9300017618949166,0.20829040328580312,0.8350022243962094,0.8880553487117127,FALSE
C130040N14Rik,1.6912291791497018,0.19363551134784548,2.023641434524285,0.09568667059506274,0.9237694276439143,NA,NA
Homez,278.8511308992647,0.19338991639542416,0.3388533021148451,0.5707187009494743,0.5681903400350841,0.6817455713991605,FALSE
Gjb6,116.81543796232081,0.19328237682194527,0.7900545546598573,0.2446443421937606,0.8067318269962456,0.8670298677831669,FALSE
Lefty1,64.72980817457317,0.19307533167371446,0.7365052007924584,0.26215066976576806,0.793205283488225,0.8575473869435918,FALSE
Prmt6,206.69096404548685,0.19271398433328585,0.25627011500440433,0.7519955431790156,0.4520537389950626,0.5780388070583593,FALSE
Ilk,2807.1934753772775,0.192428831782529,0.2830662970826262,0.6798012824760964,0.4966302945253502,0.6184629958681493,FALSE
Shc2,101.83634860346304,0.1923526758323571,0.6644032270825541,0.2895119529701753,0.7721896342110431,0.842295651366055,FALSE
Gmeb1,349.6960356167968,0.19216574458226762,0.2443770053606425,0.7863495352137431,0.431662739625382,0.5588491281275203,FALSE
Srek1,584.460893931167,0.1919745588341517,0.3477235091911004,0.5520896740077679,0.5808869162337279,0.6922771483947365,FALSE
Smarca1,23.455548350441628,0.1917531429452337,1.1259250924991766,0.17030719381127385,0.8647685540663157,0.9086313619952814,FALSE
Piwil2,9.478962673376751,0.19175241890214612,1.074367697722726,0.178479322590015,0.8583465586594666,0.904120159270573,FALSE
Zfp451,429.52562587028103,0.19174557545911808,0.31823337798352413,0.6025313142012567,0.5468205254046363,0.6636204843695301,FALSE
Fam78a,87.83471051634888,0.1912869082597205,0.5817894910847659,0.3287905869579385,0.7423139784095878,0.8199656561317241,FALSE
Ighmbp2,207.81639942980806,0.19111771104621011,0.3493356574662109,0.5470890444806532,0.5843175585167519,0.6953105980379358,FALSE
Plekhb1,2385.7549764468886,0.1910132659207986,0.44176397735730993,0.432387599965631,0.6654597289363813,0.760437406187527,FALSE
Dhrs11,263.72180424984225,0.1908888917820122,0.35033635024783455,0.5448732101221406,0.5858407226323306,0.6966893061780032,FALSE
Trpm1,5.91329598814514,0.19067661647063297,1.3634898160869064,0.13984454758735035,0.8887828152166951,0.9259581197720803,FALSE
Rtl8b,222.192156684571,0.1905716267050782,0.3913540155525426,0.4869545708787862,0.6262905252192181,0.7284043133798502,FALSE
Eipr1,409.015274246901,0.1904709894242329,0.39377264811014817,0.48370802375017513,0.6285930979747911,0.730222364947249,FALSE
Fgfrl1,452.7691063485667,0.19032369987065387,0.24181547614111537,0.7870617005488406,0.43124574811142474,0.5587016933423101,FALSE
Phykpl,166.94131326065164,0.18997542817547766,0.3124513801178674,0.6080159674884854,0.5431768837224834,0.6608049893623117,FALSE
Tafa5,45.52514742380536,0.18995443929891276,0.7388320690107363,0.25710096687228723,0.7971008311753515,0.859970265314373,FALSE
Trim7,85.54985698107646,0.18986448851373938,0.6032193973722757,0.3147519614601599,0.7529499883091522,0.8276164813067542,FALSE
Atp6v0a1,2964.268042169742,0.18957055317920998,0.48378552422330534,0.3918483370984622,0.6951702774142299,0.7839567981436407,FALSE
Cst6,68.75840205619632,0.18938638203204708,0.8221345711760614,0.2303593458685606,0.8178125489769889,0.8751453823487638,FALSE
Gjb3,577.6811151389248,0.18924880565314986,0.6616038436645915,0.2860455051241993,0.774843268907566,0.8442111670507058,FALSE
Zfp647,55.596544942679614,0.1891198576227713,0.6658710486600941,0.28401874207225214,0.776396017737741,0.8454831923230709,FALSE
Mettl16,466.8256551445998,0.18908859431752265,0.31165568494136764,0.6067227503104788,0.5440349215301605,0.6614414483604414,FALSE
2510039O18Rik,2192.187757575677,0.18892447831245965,0.36590479290558736,0.5163214092175253,0.6056299457796792,0.7123445893551017,FALSE
Septin3,33.40172502604848,0.18889881487973734,0.8189925300508615,0.2306477873101068,0.8175884394736185,0.8750477841497107,FALSE
Pmm1,2175.2663611042103,0.188865467719737,0.5978957685529686,0.3158835998736544,0.7520908604710397,0.8271330969806824,FALSE
Zfp280d,274.19228504880465,0.18883189053670119,0.43181496895401733,0.4372981580377065,0.661895131011201,0.7574595960447997,FALSE
Capzb,8624.03575438838,0.18856727803116152,0.3055717520619035,0.6170965632744779,0.5371710353854369,0.6558414075246105,FALSE
Gm12359,27.895968428756706,0.1885513893265294,0.5832435076821797,0.32328073410681596,0.7464826432731291,0.8230268026754588,FALSE
Dnajc3,4322.2591980760135,0.188523670475363,0.23606247777082578,0.7986176890779974,0.42451212749986356,0.5522236263420248,FALSE
Btd,653.1277996308263,0.18852023205902313,0.36020268799109867,0.5233726408606975,0.6007149594436196,0.7083351369428914,FALSE
Iqank1,91.14932859955601,0.1883590653440538,0.727815090458067,0.2588007143758255,0.7957890066579503,0.8589302983337614,FALSE
Mib2,527.9865620821162,0.1881769218108138,0.36723793823306294,0.5124114428814532,0.6083630841442688,0.7143257423622397,FALSE
Ankrd28,485.81940324510776,0.1881466334648786,0.3453640167502954,0.5447777543104965,0.5859063803189783,0.6966893061780032,FALSE
Crebzf,461.17892052341534,0.1874430340190845,0.2752814061169895,0.6809142566622342,0.49592574654800875,0.6178582910190658,FALSE
Polrmt,411.67274018667433,0.18736069283933465,0.3569355357398201,0.5249146528685977,0.5996425227356186,0.7075033074731832,FALSE
Hmgxb3,659.0243224787282,0.18731078158678635,0.300580514509243,0.6231634205983317,0.5331771368437466,0.6523361500828595,FALSE
Miga2,548.4500294856498,0.18694676614419298,0.3605190954596029,0.518548860514216,0.6040753789322177,0.7111937107152151,FALSE
Sirt6,255.53889824796929,0.18673341017658465,0.3505756901205754,0.5326479143843671,0.5942773276797124,0.7033053191329947,FALSE
Acsl3,1106.315457843492,0.18657436294867405,0.5278385891353464,0.3534685920828599,0.7237371709295615,0.8054610340200988,FALSE
