Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,threshold
Gm47583,1.1752774554669105,-0.5175113465232946,2.535924991490635,-0.2040720243145274,0.8382972156553545,NA,NA
Gm45425,3.6222295010721384,-0.5176826201090428,2.811433110044701,-0.18413478103372402,0.8539077216381874,NA,NA
Dnal1,343.80768106062754,-0.5177540850417646,0.36447565783594255,-1.4205450320493436,0.15544906821550092,0.6182336433044798,FALSE
Gm37125,1.345582146119743,-0.5177614208250849,2.600947128371049,-0.19906649203951887,0.8422107321092352,NA,NA
Tox2,118.52823950789204,-0.5179053844253222,0.8638712295834672,-0.5995168801663191,0.5488282569873115,0.8563284700740581,FALSE
Eogt,726.7671017447653,-0.5181666131668234,0.33252860895636116,-1.558261753155874,0.11917121151607656,0.5819906111436783,FALSE
Slc25a40,133.90380807791308,-0.518174631660826,0.3854312748363524,-1.3444021424593378,0.17881838139795941,0.6361466150319743,FALSE
Cdk12,665.7823903966134,-0.5183043061065893,0.2649696434743305,-1.95608938182687,0.050454625764483216,0.4747313715585536,FALSE
Atf7,1024.8264400318178,-0.5185947841795469,0.31474329735670636,-1.6476753866876173,0.09941930144108077,0.5563648269447241,FALSE
Myo9a,457.9300682440609,-0.5186715276987266,0.3558589650870329,-1.4575199126200864,0.14497291880197982,0.6084966021631849,FALSE
5530601H04Rik,183.88513263714313,-0.5187431839663486,0.4159466076818114,-1.2471388740431173,0.21234658117868876,0.6609761455694104,FALSE
Gm15696,3.424052261540779,-0.5188500408494293,1.1348422632674078,-0.45720013930003806,0.647527198244307,NA,NA
Pdlim4,62.65478696026884,-0.5189171910516669,0.6064286908043706,-0.8556936683905442,0.3921672433497719,0.7783817895304376,FALSE
Dclre1b,277.9396562695111,-0.5191551902949616,0.2991004394080505,-1.7357219244559499,0.08261301494620459,0.5310279725035008,FALSE
Usp34,1788.4872000937335,-0.5191552750236619,0.3371558909954379,-1.5398078126141554,0.12360720700705838,0.5861045881438656,FALSE
Anxa10,472.2685700027879,-0.5192273020017872,0.655976707259875,-0.7915331386851935,0.4286329461012757,0.7976195041951439,FALSE
Uri1,901.9809617590706,-0.5193068227680036,0.32706702698934986,-1.5877688055204462,0.1123386277805342,0.5715252610635215,FALSE
Sos2,727.1303583793825,-0.5193843712705536,0.34432804427333225,-1.5083998527237568,0.13145222069796056,0.59563118982923835,FALSE
Olfm1,401.5971978679386,-0.5196225676593779,0.5362410028347568,-0.969009391136582,0.3325405035968774,0.742530127402467,FALSE
Olfr433,0.9184917223445372,-0.5196491361652866,3.233573004813347,-0.160704315440462,0.8723262903858915,NA,NA
Gm45640,14.781457839766514,-0.5196660941639187,0.5990662831692348,-0.8674600937557928,0.385689967893336,0.7733930774922699,FALSE
Pkn2,1038.0062386891602,-0.519731303186413,0.320046347933573,-1.6239251175404303,0.10439179115762816,0.5613341954969624,FALSE
Ctsh,32245.565578585123,-0.5198387369269276,0.5739364662588962,-0.9057426518224306,0.36507208142238123,0.7602558843217214,FALSE
P2rx7,411.935874096025,-0.5198700912377469,0.25624800494294353,-2.0287771268833947,0.042480996033800525,0.4664783519983528,FALSE
B3galnt1,100.84153274854933,-0.5199988248660858,0.8133762126263235,-0.6393091127991724,0.5226218613827186,0.8441537845822267,FALSE
Wdr26,3094.5412047428467,-0.5200746693912695,0.22741828360838062,-2.286863928174085,0.022203766663139436,0.4145818900972292,FALSE
Ube2v2,134.61421949145515,-0.5201455406873254,0.4169793108548969,-1.24741330600052,0.21224599013963985,0.6609687047685483,FALSE
Relch,579.8530279863836,-0.5204639016078727,0.25937377765500463,-2.0066172699236633,0.04479043101269283,0.4664783519983528,FALSE
Nudt8,8.76592246964258,-0.5204965634545587,0.9236316898243768,-0.5635325955019237,0.5730722708475333,0.8645601673677121,FALSE
Trim58,1.1138347148436787,-0.5207743175146637,3.086597077721824,-0.1687211853058062,0.8660159542113351,NA,NA
Ms4a1,92.39903197224102,-0.5208059161197858,1.1267060420589807,-0.4622376171588176,0.6439109300015464,0.8950898306614118,FALSE
Rgs16,151.83586487655657,-0.5209192338231701,0.5781457646030737,-0.9010171235636527,0.36757921530431326,0.762119007332298,FALSE
4930466K18Rik,10.8726776252329,-0.5209297907654068,0.710892476274631,-0.7327828161795904,0.4636909035845489,0.8168904094719954,FALSE
Zfp386,404.87523957360594,-0.5209366197853341,0.47655865949610193,-1.0931217162985896,0.27434036236595694,0.7044243595217317,FALSE
Ola1,1201.9755344056653,-0.5213089035236125,0.34385780902687274,-1.5160595159927626,0.1295043038720304,0.594803253589965,FALSE
H2bc21,118.67066658167688,-0.5215415105347362,0.4978255594933751,-1.0476390787678644,0.2948049255265358,0.7207632317208823,FALSE
Camsap3,883.5630641849601,-0.5216035848145366,0.4254273236083914,-1.226069779417074,0.22017241712964616,0.6660222922151319,FALSE
Pirt,1.706562010644055,-0.5217949987702937,2.0994843648219876,-0.2485348343208719,0.8037206214780155,NA,NA
Ighv1-85,13.089944330292571,-0.5220486945270869,2.0024331365531047,-0.26070717917988373,0.7943183292905324,0.9466770348135428,FALSE
Nsrp1,612.0150445700234,-0.522189060587171,0.2861733855654147,-1.8247296461739164,0.06804183718745674,0.5125099491154737,FALSE
Myom1,302.2737973689767,-0.5222361629458687,0.604569522096602,-0.8638149027671668,0.38768957983165026,0.774903224350996,FALSE
Dhx40,1100.9267199166118,-0.5222678946757631,0.4013072115790475,-1.3014166693410876,0.19311587090540522,0.6465659323768742,FALSE
Erap1,957.801054032935,-0.5223171175026472,0.3314020570374724,-1.5760829071848146,0.11500669769722216,0.5751658690524002,FALSE
Cd33,358.78133055147595,-0.5224187388123741,0.6053949748449384,-0.8629386772597224,0.38817118392085936,0.7752804610351417,FALSE
B930095G15Rik,66.98876016196284,-0.5224377523136668,0.47323758919530684,-1.1039650362559321,0.26960830483489606,0.7014219327864957,FALSE
Tdrkh,97.02473533828527,-0.5225734315687571,0.4511846332017111,-1.1582252433121547,0.2467721293925901,0.6831836387364711,FALSE
F730311O21Rik,3.182122557911133,-0.5229417882339323,1.901826784871764,-0.2749681476744966,0.7833407098499217,NA,NA
2610002M06Rik,419.3855653463434,-0.5229589585649863,0.3223071814655536,-1.622548266492403,0.10468600722452955,0.5615846618410534,FALSE
Ccdc69,58.11961135583634,-0.5230579086935593,0.5543745396752202,-0.943509976125513,0.34542011498695346,0.7513641532023039,FALSE
Cd276,385.7883922086513,-0.5232781445099418,0.3431864664503641,-1.524763344901961,0.127318135604177,0.5920698476447013,FALSE
Edn1,390.49318241674456,-0.5233230449209559,0.5769896695373533,-0.9069885867117364,0.3644128327838038,0.7602058417281543,FALSE
Zscan26,636.0197073687675,-0.5234127306099758,0.42060709920671185,-1.2444220071348322,0.2133442875216287,0.661280489289577,FALSE
Sprr1a,408.9444880557153,-0.5235898609728639,0.5823146727793455,-0.8991527870555067,0.36857128430850916,0.7631890857543959,FALSE
Ccdc158,26.223417467425286,-0.5236049386057744,0.7153928784282654,-0.7319124279740477,0.4642220201078064,0.8170265796842142,FALSE
Mphosph8,484.378275966726,-0.5237545866921842,0.36950922665395297,-1.4174330406712217,0.15635635830082764,0.6188111417630056,FALSE
Tmprss11e,20.352822917142756,-0.5240129197148744,1.4479739103489042,-0.36189389599472005,0.7174313215217268,0.919791562773043,FALSE
Ccnyl1,194.77370699750105,-0.5240380444276185,0.3102371800456671,-1.6891529388917208,0.09119012497567776,0.5431853830933722,FALSE
Pkia,260.8681337490896,-0.524114051097982,0.5504415248915462,-0.9521702622294866,0.3410106399482568,0.7484890934702938,FALSE
B930094E09Rik,8.647345482125244,-0.5241525747880083,1.1616655570783483,-0.45120781243293495,0.6518397795225818,0.8978489597354514,FALSE
Tcaf2,142.14290014950492,-0.5242140357953974,0.3391673373033651,-1.5455911526248145,0.12220333927123433,0.5852432247998659,FALSE
Stxbp6,130.33408388619247,-0.5242473127221066,0.4912796082326228,-1.0671057864748041,0.2859240691629697,0.7137714118640198,FALSE
Ccnt1,567.5507092118153,-0.5246073963449922,0.2553696270709236,-2.0543061536417304,0.039946069533150434,0.4619020441642132,FALSE
1700024G13Rik,102.49101746814276,-0.5246257241635932,1.0540096105256096,-0.49774282788747515,0.6186653173692476,0.8842577702780252,FALSE
Mex3c,700.9293080194058,-0.5247520909411915,0.34132720883025175,-1.5373872265839792,0.1241985124859133,0.5861045881438656,FALSE
Tubb2a,1093.487776844105,-0.5250385028574811,0.3333216056804922,-1.5751709277458616,0.11521699579807812,0.5751658690524002,FALSE
Gm49768,16.893216602419983,-0.5250638847178374,0.6408216735331266,-0.819360371853426,0.4125808373433616,0.7885597492709246,FALSE
Cacng5,1.5784509655980463,-0.5251462810269704,2.322747980980452,-0.22608835970456923,0.8211326978252202,NA,NA
Zfc3h1,475.1522738582648,-0.5251657296920086,0.2749040877037056,-1.910359842513646,0.056086897597636964,0.48663633580377,FALSE
Proca1,76.13055438627543,-0.5252356082056435,0.7024411263411516,-0.7477290103178762,0.45462362905412607,0.8113084777849116,FALSE
Tppp3,1870.257707456268,-0.5252747980333218,0.6346955449524474,-0.8276012053506321,0.4078963854204998,0.7863527852720867,FALSE
Fam129a,1738.9229669846172,-0.5252907334239868,0.23423482423245073,-2.2425817132242343,0.024923800566716326,0.4166819718512473,FALSE
Gm12799,4.464545351911622,-0.5253261015913546,0.9960866571623757,-0.5273899593112603,0.5979228146793266,NA,NA
Nap1l1,4009.6858352499657,-0.5254544731259252,0.2596469867703477,-2.0237264435911926,0.04299830619433032,0.4664783519983528,FALSE
Npnt,3243.692780981576,-0.5256417314301943,0.625586780515976,-0.8402379139096444,0.40077500446648606,0.7821763898709924,FALSE
Lurap1,258.79251559127647,-0.5256769299919831,0.20622986051378428,-2.5489855284892036,0.010803678327106998,0.3494919542486953,FALSE
Slc29a4,16.073264804571785,-0.52593151905196,0.7982600441164142,-0.6588473554806419,0.5099937944154258,0.8393079051138435,FALSE
Hmgb1,1842.189060497866,-0.5263085140444665,0.28873603278169474,-1.8228016398715077,0.06833343928442205,0.5129985103434632,FALSE
Spopl,234.44433201327288,-0.5263129580701189,0.4257003875269006,-1.236345968881366,0.21632999081775767,0.6634547432290382,FALSE
Ctsc,8669.596523650669,-0.5263211965957827,0.7668619553658015,-0.6863310833365331,0.49250435217904337,0.8305435702416004,FALSE
