Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,threshold
Inka2,829.1298835552267,0.27999106736541113,0.3569695224095092,0.7843556656475851,0.43283144484557584,0.5573141494526673,FALSE
Plrg1,1009.7007601075044,0.27980281735917895,0.23992610679056298,1.1662041330226114,0.2435319219449937,0.3633498534004253,FALSE
Wipf1,870.6029075168377,0.2797995675791269,0.5083237835846155,0.5504357195447879,0.5820205547121203,0.6913814823709981,FALSE
Usp49,99.64402358724394,0.27955355026873946,0.404289886489187,0.691468076771236,0.489271435496763,0.6098912030906574,FALSE
Il13ra1,2850.346666221223,0.27926023643091874,0.4770738868806249,0.5853605575791999,0.5583053038983379,0.6704873338573818,FALSE
Cbx3-ps6,1.4695032602229696,0.2790400642734659,2.098916543682308,0.13294481150923806,0.8942370269628395,NA,NA
Gm9028,1.9931435151922654,0.2789551368504225,2.0514396761385534,0.13598018020958955,0.891836949317738,NA,NA
Dgkz,1434.6394427600658,0.2784950785716904,0.2692701535801089,1.0342589955438082,0.3010151006542966,0.42453948846662737,FALSE
Lmo4,1369.5708221530874,0.2784391568069907,0.3685854651673377,0.7554263071132754,0.4499932335509453,0.5733747909053409,FALSE
Zfp131,363.08667546836494,0.27809318515603987,0.5148740337431428,0.5401188774937781,0.5891150528632678,0.6971658245280073,FALSE
Fam124b,13.272635615245578,0.2779364683915429,1.1319528848984977,0.24553713506942076,0.806040558373689,0.8702803679756189,FALSE
Gm16470,10.520303478325063,0.277934176255914,0.9300708999573714,0.2988311711167963,0.7650688659372795,0.8397564873706911,FALSE
Itga4,170.82568630147549,0.27792196917767403,0.8775840428249334,0.3166898617288508,0.7514789423116638,0.8288917559152879,FALSE
Gm10254,7.816529133212163,0.2777265180077674,1.064234409418024,0.260963670738331,0.7941205232734267,0.8613958381767335,FALSE
Adamdec1,487.4833521933911,0.27713244201096593,0.6255322135275228,0.4430346447677749,0.6577406759531083,0.7545120773233558,FALSE
Gm7985,2.8476451423576647,0.2770491414797908,1.643628631558149,0.16855945203214798,0.8661431766941766,0.912812207996565,FALSE
Tox4,1248.6219607091973,0.27663852191141197,0.15257418684041757,1.8131410538058934,0.06981006862436391,0.14017925679148588,FALSE
Gm8543,2.8144049531495603,0.27594197293647005,1.5386350647504918,0.17934205404399603,0.8576691277523176,0.9071485658718322,FALSE
Dusp18,341.1766834630889,0.27592760769449254,0.40192114913064275,0.686521742613757,0.49238415831384913,0.6128611332204292,FALSE
Proser2,737.4649129721854,0.27574391755406563,0.5413697090441444,0.5093449318413582,0.6105104685433145,0.7157287056068917,FALSE
3000002C10Rik,19.341951312064968,0.2756944990663138,0.6949047249541278,0.39673711973179204,0.6915613242403857,0.7817878646401972,FALSE
Laptm4b,1824.1206161394828,0.27548185146552223,0.36501575188941543,0.7547122282793477,0.4504216677677829,0.5737259366757093,FALSE
Hdac7,2259.786679715759,0.27531521735481135,0.4259517513191193,0.6463530587729586,0.5180507331493336,0.635425973914981,FALSE
Emsy,675.6601657885797,0.2752404269168494,0.3521030062036475,0.7817042799051176,0.43438838583181955,0.5586744992893453,FALSE
4930458D05Rik,30.074000775740867,0.2752344500505271,0.6913786365583785,0.3980951037489671,0.6905600834117946,0.7811591708815596,FALSE
